,date,Confirmed,Recovered,Death
2021-02-01,2021-02-01,838842,821947,12363
2021-02-02,2021-02-02,839352,822468,12367
2021-02-03,2021-02-03,839866,823001,12371
2021-02-04,2021-02-04,840360,823518,12375
2021-02-05,2021-02-05,840849,824024,12379
2021-02-06,2021-02-06,841326,824527,12382
2021-02-07,2021-02-07,841797,825025,12383
2021-02-08,2021-02-08,842261,825520,12387
2021-02-09,2021-02-09,842730,826011,12391
2021-02-10,2021-02-10,843209,826504,12396
2021-02-11,2021-02-11,843690,826994,12402
2021-02-12,2021-02-12,844173,827480,12408
2021-02-13,2021-02-13,844650,827962,12413
2021-02-14,2021-02-14,845120,828441,12419
2021-02-15,2021-02-15,845575,828918,12425
2021-02-16,2021-02-16,846026,829388,12432
2021-02-17,2021-02-17,846480,829850,12438
2021-02-18,2021-02-18,846937,830320,12444
2021-02-19,2021-02-19,847385,830787,12451
2021-02-20,2021-02-20,847823,831246,12457
2021-02-21,2021-02-21,848275,831706,12460
2021-02-22,2021-02-22,848724,832167,12466
2021-02-23,2021-02-23,849166,832620,12472
2021-02-24,2021-02-24,849629,833089,12478
2021-02-25,2021-02-25,850096,833560,12483
2021-02-26,2021-02-26,850577,834043,12488
2021-02-27,2021-02-27,851063,834534,12493
2021-02-28,2021-02-28,851542,835024,12496
2021-03-01,2021-03-01,852016,835506,12501
2021-03-02,2021-03-02,852478,835979,12502
2021-03-03,2021-03-03,852967,836473,12504
2021-03-04,2021-03-04,853449,836963,12508
2021-03-05,2021-03-05,853992,837525,12513
2021-03-06,2021-03-06,854554,838085,12517
2021-03-07,2021-03-07,855121,838606,12518
2021-03-08,2021-03-08,855677,839138,12521
2021-03-09,2021-03-09,856246,839648,12525
2021-03-10,2021-03-10,856917,840180,12530
2021-03-11,2021-03-11,857602,840723,12535
2021-03-12,2021-03-12,858272,841250,12539
2021-03-13,2021-03-13,858967,841762,12543
2021-03-14,2021-03-14,859726,842309,12547
2021-03-15,2021-03-15,860562,842862,12551
2021-03-16,2021-03-16,861429,843423,12556
2021-03-17,2021-03-17,862374,843999,12564
2021-03-18,2021-03-18,863363,844568,12573
2021-03-19,2021-03-19,864450,845178,12582
2021-03-20,2021-03-20,865693,845812,12590
2021-03-21,2021-03-21,866982,846480,12599
2021-03-22,2021-03-22,868367,847139,12609
2021-03-23,2021-03-23,869804,848041,12618
2021-03-24,2021-03-24,871440,849064,12630
2021-03-25,2021-03-25,873219,850091,12641
2021-03-26,2021-03-26,875190,851222,12650
2021-03-27,2021-03-27,877279,852463,12659
2021-03-28,2021-03-28,879473,853733,12670
2021-03-29,2021-03-29,881752,855085,12684
2021-03-30,2021-03-30,884094,856548,12700
2021-03-31,2021-03-31,886673,858075,12719
2021-04-01,2021-04-01,889490,859709,12738
2021-04-02,2021-04-02,892780,861424,12750
2021-04-03,2021-04-03,896226,863258,12764
2021-04-04,2021-04-04,899807,865071,12778
2021-04-05,2021-04-05,903479,866913,12789
2021-04-06,2021-04-06,907124,868722,12804
2021-04-07,2021-04-07,911110,870546,12821
2021-04-08,2021-04-08,915386,872415,12840
2021-04-09,2021-04-09,920827,874305,12863
2021-04-10,2021-04-10,926816,876257,12886
2021-04-11,2021-04-11,933434,878571,12908
2021-04-12,2021-04-12,940145,880910,12927
2021-04-13,2021-04-13,947129,884199,12945
2021-04-14,2021-04-14,954948,887663,12970
2021-04-15,2021-04-15,962935,891839,12999
2021-04-16,2021-04-16,971384,896759,13032
2021-04-17,2021-04-17,980728,902022,13071
2021-04-18,2021-04-18,991451,907947,13113
2021-04-19,2021-04-19,1002392,914119,13157
2021-04-20,2021-04-20,1013378,920369,13205
2021-04-21,2021-04-21,1025059,927440,13258
2021-04-22,2021-04-22,1037711,934966,13317
2021-04-23,2021-04-23,1051487,943044,13395
2021-04-24,2021-04-24,1066329,952186,13475
2021-04-25,2021-04-25,1081988,963251,13557
2021-04-26,2021-04-26,1097672,976876,13651
2021-04-27,2021-04-27,1113502,990919,13728
2021-04-28,2021-04-28,1130167,1006033,13826
2021-04-29,2021-04-29,1148064,1021575,13933
2021-04-30,2021-04-30,1166756,1037582,14046
2021-05-01,2021-05-01,1186344,1054746,14193
2021-05-02,2021-05-02,1207112,1072322,14346
2021-05-03,2021-05-03,1228064,1090338,14468
2021-05-04,2021-05-04,1249292,1109450,14612
2021-05-05,2021-05-05,1272602,1129512,14779
2021-05-06,2021-05-06,1297500,1151058,14974
2021-05-07,2021-05-07,1323965,1173439,15171
2021-05-08,2021-05-08,1351362,1196549,15412
2021-05-09,2021-05-09,1380259,1220064,15648
2021-05-10,2021-05-10,1409237,1240968,15880
2021-05-11,2021-05-11,1438509,1260150,16178
2021-05-12,2021-05-12,1468864,1279658,16471
2021-05-13,2021-05-13,1499485,1298945,16768
2021-05-14,2021-05-14,1531377,1318982,17056
2021-05-15,2021-05-15,1565035,1339887,17359
2021-05-16,2021-05-16,1598216,1361204,17670
2021-05-17,2021-05-17,1631291,1381690,18005
2021-05-18,2021-05-18,1664350,1403052,18369
2021-05-19,2021-05-19,1699225,1426915,18734
2021-05-20,2021-05-20,1734804,1452283,19131
2021-05-21,2021-05-21,1770988,1476761,19598
2021-05-22,2021-05-22,1806861,1502537,20046
2021-05-23,2021-05-23,1842344,1527733,20468
2021-05-24,2021-05-24,1877211,1554759,20872
2021-05-25,2021-05-25,1911496,1583504,21340
2021-05-26,2021-05-26,1945260,1613221,21815
2021-05-27,2021-05-27,1978621,1643284,22289
2021-05-28,2021-05-28,2009700,1674539,22775
2021-05-29,2021-05-29,2039716,1706298,23261
2021-05-30,2021-05-30,2068580,1739280,23754
2021-05-31,2021-05-31,2096516,1770503,24232
2021-06-01,2021-06-01,2123029,1802176,24722
2021-06-02,2021-06-02,2148346,1834439,25205
2021-06-03,2021-06-03,2172751,1866660,25665
2021-06-04,2021-06-04,2195402,1900306,26128
2021-06-05,2021-06-05,2216812,1932778,26571
2021-06-06,2021-06-06,2237233,1965939,27005
2021-06-07,2021-06-07,2256681,1997299,27356
2021-06-08,2021-06-08,2274704,2028344,27765
2021-06-09,2021-06-09,2292025,2059597,28170
2021-06-10,2021-06-10,2308838,2091646,28528
2021-06-11,2021-06-11,2324597,2120889,28906
2021-06-12,2021-06-12,2339705,2148352,29280
2021-06-13,2021-06-13,2353721,2174247,29547
2021-06-14,2021-06-14,2366493,2199808,29801
2021-06-15,2021-06-15,2378298,2223015,30068
2021-06-16,2021-06-16,2388746,2244073,30338
2021-06-17,2021-06-17,2397864,2266793,30548
2021-06-18,2021-06-18,2406497,2286653,30835
2021-06-19,2021-06-19,2414680,2304885,31015
2021-06-20,2021-06-20,2422497,2321928,31197
2021-06-21,2021-06-21,2429924,2337209,31386
2021-06-22,2021-06-22,2436819,2348353,31580
2021-06-23,2021-06-23,2443415,2358785,31746
2021-06-24,2021-06-24,2449577,2367831,31901
2021-06-25,2021-06-25,2455332,2375963,32051
2021-06-26,2021-06-26,2460747,2383624,32199
2021-06-27,2021-06-27,2465874,2390783,32290
2021-06-28,2021-06-28,2470678,2397336,32388
2021-06-29,2021-06-29,2475190,2403349,32506
2021-06-30,2021-06-30,2479696,2408886,32619
2021-07-01,2021-07-01,2484177,2413930,32721
2021-07-02,2021-07-02,2488407,2418882,32818
2021-07-03,2021-07-03,2492420,2423606,32933
2021-07-04,2021-07-04,2496287,2427988,33005
2021-07-05,2021-07-05,2500002,2432017,33059
2021-07-06,2021-07-06,2503481,2435872,33132
2021-07-07,2021-07-07,2506848,2439576,33196
2021-07-08,2021-07-08,2510059,2443141,33253
2021-07-09,2021-07-09,2513098,2446552,33322
2021-07-10,2021-07-10,2516011,2449873,33371
2021-07-11,2021-07-11,2518786,2453061,33418
2021-07-12,2021-07-12,2521438,2456165,33454
2021-07-13,2021-07-13,2523943,2459223,33502
2021-07-14,2021-07-14,2526401,2462244,33557
2021-07-15,2021-07-15,2528806,2465250,33606
2021-07-16,2021-07-16,2531118,2468236,33652
2021-07-17,2021-07-17,2533323,2471038,33695
2021-07-18,2021-07-18,2535402,2473781,33724
2021-07-19,2021-07-19,2537373,2476339,33752
2021-07-20,2021-07-20,2539277,2478778,33782
2021-07-21,2021-07-21,2541168,2481201,33809
2021-07-22,2021-07-22,2543040,2483676,33838
2021-07-23,2021-07-23,2544870,2486192,33862
2021-07-24,2021-07-24,2546689,2488775,33889
2021-07-25,2021-07-25,2548497,2491222,33911
2021-07-26,2021-07-26,2550282,2493583,33937
2021-07-27,2021-07-27,2552049,2495895,33966
2021-07-28,2021-07-28,2553805,2498289,33995
2021-07-29,2021-07-29,2555664,2500434,34023
2021-07-30,2021-07-30,2557611,2502627,34050
2021-07-31,2021-07-31,2559597,2504805,34076
2021-08-01,2021-08-01,2561587,2506961,34102
2021-08-02,2021-08-02,2563544,2509029,34130
2021-08-03,2021-08-03,2565452,2511076,34159
2021-08-04,2021-08-04,2567401,2513087,34197
2021-08-05,2021-08-05,2569398,2515030,34230
2021-08-06,2021-08-06,2571383,2516938,34260
2021-08-07,2021-08-07,2573352,2518777,34289
2021-08-08,2021-08-08,2575308,2520584,34317
2021-08-09,2021-08-09,2577237,2522470,34340
2021-08-10,2021-08-10,2579130,2524400,34367
2021-08-11,2021-08-11,2581094,2526317,34395
2021-08-12,2021-08-12,2583036,2528209,34428
2021-08-13,2021-08-13,2584969,2530096,34462
2021-08-14,2021-08-14,2586885,2531962,34496
2021-08-15,2021-08-15,2588781,2533804,34519
2021-08-16,2021-08-16,2590632,2535715,34547
2021-08-17,2021-08-17,2592436,2537632,34579
2021-08-18,2021-08-18,2594233,2539540,34610
2021-08-19,2021-08-19,2595935,2541432,34639
2021-08-20,2021-08-20,2597603,2543319,34663
2021-08-21,2021-08-21,2599255,2545178,34686
2021-08-22,2021-08-22,2600885,2547005,34709
2021-08-23,2021-08-23,2602489,2548868,34734
2021-08-24,2021-08-24,2604074,2550710,34761
2021-08-25,2021-08-25,2605647,2552507,34788
2021-08-26,2021-08-26,2607206,2554323,34814
2021-08-27,2021-08-27,2608748,2556116,34835
2021-08-28,2021-08-28,2610299,2557884,34856
2021-08-29,2021-08-29,2611837,2559637,34878
2021-08-30,2021-08-30,2613360,2561376,34899
2021-08-31,2021-08-31,2614872,2563101,34921
2021-09-01,2021-09-01,2616381,2564820,34941
2021-09-02,2021-09-02,2617943,2566504,34961
2021-09-03,2021-09-03,2619511,2568161,34980
2021-09-04,2021-09-04,2621086,2569771,35000
2021-09-05,2021-09-05,2622678,2571378,35018
2021-09-06,2021-09-06,2624234,2572942,35036
2021-09-07,2021-09-07,2625778,2574518,35055
2021-09-08,2021-09-08,2627365,2576112,35073
2021-09-09,2021-09-09,2628961,2577646,35094
2021-09-10,2021-09-10,2630592,2579169,35119
2021-09-11,2021-09-11,2632231,2580686,35146
2021-09-12,2021-09-12,2633839,2582198,35168
2021-09-13,2021-09-13,2635419,2583707,35190
2021-09-14,2021-09-14,2637010,2585244,35217
2021-09-15,2021-09-15,2638668,2586786,35246
2021-09-16,2021-09-16,2640361,2588334,35271
2021-09-17,2021-09-17,2642030,2589899,35288
2021-09-18,2021-09-18,2643683,2591480,35310
2021-09-19,2021-09-19,2645380,2593074,35337
2021-09-20,2021-09-20,2647041,2594697,35360
2021-09-21,2021-09-21,2648688,2596316,35379
2021-09-22,2021-09-22,2650370,2597943,35400
2021-09-23,2021-09-23,2652115,2599567,35427
2021-09-24,2021-09-24,2653848,2601198,35454
2021-09-25,2021-09-25,2655572,2602833,35476
2021-09-26,2021-09-26,2657266,2604491,35490
2021-09-27,2021-09-27,2658923,2606153,35509
2021-09-28,2021-09-28,2660553,2607796,35526
2021-09-29,2021-09-29,2662177,2609435,35550
2021-09-30,2021-09-30,2663789,2611061,35578
2021-10-01,2021-10-01,2665386,2612684,35603
2021-10-02,2021-10-02,2666964,2614291,35627
2021-10-03,2021-10-03,2668495,2615873,35650
2021-10-04,2021-10-04,2669962,2617432,35666
2021-10-05,2021-10-05,2671411,2618980,35682
2021-10-06,2021-10-06,2672843,2620499,35707
2021-10-07,2021-10-07,2674233,2621986,35734
2021-10-08,2021-10-08,2675592,2623459,35754
2021-10-09,2021-10-09,2676936,2624916,35768
2021-10-10,2021-10-10,2678265,2626352,35783
